Nome do Talhao,tl1,tl1,tl1,,tl2,tl2,tl2,,tl3,tl3,tl3,,tl4,tl4,tl4,
Area do Talhao (Ha),50,50,50,,30,30,30,,10,10,10,,25,25,25,
Georreferenciamento (utm x;y em metros),"1,353535;3,3533535","1,353535;3,3533535","1,353535;3,3533535",,"2,353535;5,656565","2,353535;5,656565","2,353535;5,656565",,"2,353535;5,656565","2,353535;5,656565","2,353535;5,656565",,"2,353535;5,656565","2,353535;5,656565","2,353535;5,656565",
1.1 - Sementes de Algodão,"R$ 1,00","R$ 0,00","R$ 0,00",,"R$ 5,00","R$ 0,00","R$ 0,00",,"R$ 5,00","R$ 0,00","R$ 0,00",,"R$ 5,00","R$ 0,00","R$ 0,00",
1.1.1 - Royalteis sementes algodão,"R$ 2,00","R$ 0,00","R$ 0,00",,"R$ 6,00","R$ 0,00","R$ 0,00",,"R$ 6,00","R$ 0,00","R$ 0,00",,"R$ 6,00","R$ 0,00","R$ 0,00",
1.2 - Sementes de cobertura (pré-plantio de algodão),"R$ 3,00","R$ 0,00","R$ 0,00",,"R$ 7,00","R$ 0,00","R$ 0,00",,"R$ 7,00","R$ 0,00","R$ 0,00",,"R$ 7,00","R$ 0,00","R$ 0,00",
2.1 - Corretivos de solo - Calcário / Fósforo / Potássio / Gesso Agrícola,"R$ 4,00","R$ 11,00","R$ 21,00",,"R$ 8,00","R$ 18,00","R$ 28,00",,"R$ 8,00","R$ 18,00","R$ 28,00",,"R$ 8,00","R$ 18,00","R$ 28,00",
2.2 - Macronutriente - NPK - Base e Cobertura,"R$ 5,00","R$ 12,00","R$ 0,00",,"R$ 9,00","R$ 19,00","R$ 29,00",,"R$ 9,00","R$ 19,00","R$ 29,00",,"R$ 9,00","R$ 19,00","R$ 29,00",
2.3 - Micronutriente - Solo e Cobertura,"R$ 6,00","R$ 13,00","R$ 22,00",,"R$ 10,00","R$ 20,00","R$ 30,00",,"R$ 10,00","R$ 20,00","R$ 30,00",,"R$ 10,00","R$ 20,00","R$ 30,00",
3.1 -  Manejo Pré Plantio,"R$ 7,00","R$ 0,00","R$ 0,00",,"R$ 11,00","R$ 0,00","R$ 0,00",,"R$ 11,00","R$ 0,00","R$ 0,00",,"R$ 11,00","R$ 0,00","R$ 0,00",
3.2 -  Adubação e Plantio,"R$ 8,00","R$ 0,00","R$ 0,00",,"R$ 12,00","R$ 0,00","R$ 0,00",,"R$ 12,00","R$ 0,00","R$ 0,00",,"R$ 12,00","R$ 0,00","R$ 0,00",
3.3 - Aplicações de agrotóxicos e cobertura com máquinas terrestres,"R$ 9,00","R$ 14,00","R$ 24,00",,"R$ 13,00","R$ 23,00","R$ 33,00",,"R$ 13,00","R$ 23,00","R$ 33,00",,"R$ 13,00","R$ 23,00","R$ 33,00",
3.4 - Aplicações de agrotóxicos e cobertura com avião agrícola,"R$ 10,00","R$ 15,00","R$ 25,00",,"R$ 14,00","R$ 24,00","R$ 34,00",,"R$ 14,00","R$ 24,00","R$ 34,00",,"R$ 14,00","R$ 24,00","R$ 34,00",
3.5 - Colheita,"R$ 0,00","R$ 0,00","R$ 26,00",,"R$ 0,00","R$ 0,00","R$ 55,00",,"R$ 0,00","R$ 0,00","R$ 55,00",,"R$ 0,00","R$ 0,00","R$ 55,00",
3.5.1 - Embalagens Colheita (filme plástico) / Utensílios,"R$ 0,00","R$ 0,00","R$ 27,00",,"R$ 0,00","R$ 0,00","R$ 66,00",,"R$ 0,00","R$ 0,00","R$ 66,00",,"R$ 0,00","R$ 0,00","R$ 66,00",
3.7 - Serviços terceirizados - Aluguel de máquinas e outro,"R$ 12,00","R$ 17,00","R$ 29,00",,"R$ 16,00","R$ 26,00","R$ 36,00",,"R$ 16,00","R$ 26,00","R$ 36,00",,"R$ 16,00","R$ 26,00","R$ 36,00",
3.7.1 - Serviço terceirizado - Aluguel de máquinas e outro 1 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
3.7.2 - Serviço terceirizado - Aluguel de máquinas e outro 2 -,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00",
