etp_veg,bloco,utm-x,utm-y,pH_H2O_sA,pH_CaCl2_sA,P_resina_sA,K_trocavel_sA,MO_sA,Ca_sA,Zn_sA,B_sA,Mn_sA,Fe_sA,Na_sA,S_sA,Mg_sA,pH_H2O_sB,pH_CaCl2_sB,P_resina_sB,K_trocavel_sB,MO_sB,Ca_sB,Zn_sB,B_sB,Mn_sB,Fe_sB,Na_sB,S_sB,Mg_sB,Elementos_baixo_sA,Elementos_baixo_sB,ndvi,savi,gli,tx_ocupacao,status_term
Etapa 2 - Inicio da fase reprodutiva,1,777544.4498126635,8292756.338235238,6.0,,29.4,0.3,2.85,4.09,5.47,0.87,1.11,35.02,7.97,,0.9,6.0,,4.17,0.11,2.65,1.58,0.63,1.05,1.11,60.68,5.42,,0.51,['Mn'],"['Mn', 'Zn']",0.8566845059394836,0.5988473892211914,0.3761858642101288,0.6521738892047184,baixa
Etapa 2 - Inicio da fase reprodutiva,2,777465.4272224254,8292695.0566700455,6.2,,26.12,0.11,3.0,4.88,5.65,1.05,1.11,36.79,7.41,,1.2,5.8,,3.91,0.07,2.22,1.43,1.55,0.99,1.11,46.98,5.01,,0.46,['Mn'],"['K_trocavel', 'Mn']",0.8688080310821533,0.6138306856155396,0.3892086744308471,0.7295173502492025,baixa
Etapa 2 - Inicio da fase reprodutiva,3,777386.4046321873,8292633.775104862,6.8,,42.65,0.15,3.62,6.77,6.94,1.32,1.11,26.5,8.62,,1.88,6.2,,8.02,0.15,2.41,2.51,1.64,1.34,1.11,48.63,5.94,,0.8,['Mn'],['Mn'],0.8478845953941345,0.5913472771644592,0.3674061000347137,0.5799441475523891,baixa
Etapa 2 - Inicio da fase reprodutiva,4,777307.3820419493,8292572.493539673,6.5,,36.9,0.14,3.26,5.66,8.41,1.24,1.11,32.26,8.15,,1.41,6.1,,3.89,0.16,2.06,2.05,1.0,1.15,1.11,56.63,5.4,,0.59,['Mn'],['Mn'],0.8366238474845886,0.5757317543029785,0.3558655977249145,0.5213133604613723,baixa
Etapa 2 - Inicio da fase reprodutiva,5,777228.3594517104,8292511.211974483,6.7,,20.86,0.09,2.87,5.19,6.01,1.02,1.11,36.3,7.59,,1.02,6.3,,4.47,0.09,2.15,1.8,0.97,0.93,1.11,49.19,5.61,,0.44,['Mn'],['Mn'],0.8351647853851318,0.5871639847755432,0.3560003638267517,0.5372323799900649,baixa
Etapa 2 - Inicio da fase reprodutiva,6,777149.3368614712,8292449.930409295,6.4,,38.68,0.22,3.66,5.43,6.81,1.12,1.38,40.46,9.79,,1.13,6.2,,5.06,0.12,2.45,2.43,2.06,1.18,1.11,46.52,6.72,,0.65,['Mn'],['Mn'],0.8337488770484924,0.6028677225112915,0.358491450548172,0.5530211381467268,baixa
Etapa 2 - Inicio da fase reprodutiva,7,777070.3142712327,8292388.648844104,6.7,,52.42,0.13,3.53,5.95,7.33,0.83,1.11,41.16,8.55,,1.35,6.5,,8.86,0.07,2.26,3.12,2.18,0.72,1.11,31.5,5.86,,0.86,['Mn'],"['K_trocavel', 'Mn']",0.8052926063537598,0.5923467874526978,0.3372227847576141,0.45534190913539346,baixa
Etapa 2 - Inicio da fase reprodutiva,8,776992.551269783,8292327.619850171,6.6,,46.94,0.12,3.13,5.62,6.93,1.21,1.11,36.26,9.14,,1.06,6.3,,4.92,0.18,2.04,2.16,1.5,1.2,1.11,34.14,6.22,,0.51,['Mn'],['Mn'],0.709312915802002,0.5299757719039917,0.2767849862575531,0.19115232480931804,media
Etapa 2 - Inicio da fase reprodutiva,9,777483.1682463661,8292835.360823511,6.6,,24.55,0.17,3.23,4.58,5.04,0.93,1.11,33.68,7.0,,1.21,6.1,,6.64,0.16,2.72,2.66,2.03,1.21,1.11,55.35,6.81,,0.68,['Mn'],['Mn'],0.8710047602653503,0.6070041060447693,0.3885026574134826,0.6861690651158112,baixa
Etapa 2 - Inicio da fase reprodutiva,10,777404.1456572006,8292774.079256934,6.8,,43.4,0.21,3.02,6.16,6.04,1.03,1.11,31.2,8.3,,1.33,6.0,,6.72,0.2,2.28,2.11,1.1,0.94,1.11,47.82,6.24,,0.59,['Mn'],['Mn'],0.8547061681747437,0.5911101698875427,0.3780165910720825,0.6157985218044807,baixa
Etapa 2 - Inicio da fase reprodutiva,11,777325.1230680345,8292712.797690365,6.7,,42.33,0.16,2.83,5.54,5.8,0.84,1.11,35.2,7.4,,1.33,6.3,,3.13,0.16,2.04,2.02,0.73,1.09,1.11,52.97,5.66,,0.57,['Mn'],['Mn'],0.8394726514816284,0.5843356251716614,0.3633981645107269,0.5362496688626597,baixa
Etapa 2 - Inicio da fase reprodutiva,12,777246.1004788686,8292651.516123795,6.6,,36.63,0.2,2.9,5.41,5.67,1.41,1.11,36.06,7.91,,1.45,6.3,,23.35,0.17,2.3,2.38,1.67,1.21,1.11,47.23,6.32,,0.77,['Mn'],['Mn'],0.812309205532074,0.5645491480827332,0.3434310853481293,0.41755562692123327,baixa
Etapa 2 - Inicio da fase reprodutiva,13,777167.0778897025,8292590.234557224,5.8,,4.5,0.11,1.98,1.37,0.95,1.22,1.11,56.75,4.68,,0.46,6.4,,41.39,0.12,2.83,4.22,4.86,1.27,1.11,28.24,7.39,,1.1,['Mn'],['Mn'],0.7879153490066528,0.5491620898246765,0.3252810537815094,0.34280859044025963,baixa
Etapa 2 - Inicio da fase reprodutiva,14,777088.0553005362,8292528.952990651,6.5,,19.65,0.09,2.83,4.93,5.44,1.03,1.11,34.93,6.97,,1.23,6.2,,5.38,0.07,2.04,1.56,0.94,0.83,1.11,41.31,5.05,,0.57,['Mn'],"['K_trocavel', 'Mn']",0.800547182559967,0.5682927370071411,0.3359250724315643,0.40064084089026225,baixa
Etapa 2 - Inicio da fase reprodutiva,15,777009.0327113708,8292467.671424081,6.4,,24.8,0.12,2.9,4.65,5.7,1.33,1.11,35.93,7.26,,1.02,6.2,,3.61,0.1,2.09,1.99,1.06,0.89,1.11,37.56,5.51,,0.58,['Mn'],['Mn'],0.808144211769104,0.5809827446937561,0.3377388417720794,0.418827403067997,baixa
Etapa 2 - Inicio da fase reprodutiva,16,776937.1432604139,8292409.480980653,6.5,,44.5,0.2,3.55,6.17,8.17,1.31,1.11,33.34,8.24,,1.4,6.0,,2.98,0.12,2.19,1.67,1.07,0.88,1.11,35.61,6.4,,0.43,['Mn'],['Mn'],0.6658219695091248,0.4786176383495331,0.2490667104721069,0.10278720852585728,baixa
Etapa 2 - Inicio da fase reprodutiva,17,777421.8866797633,8292914.383412651,6.0,,4.95,0.13,2.53,2.01,1.39,1.34,1.11,44.89,4.62,,0.62,6.5,,47.79,0.18,3.17,5.79,7.4,0.89,1.11,25.3,9.23,,1.45,['Mn'],['Mn'],0.8757574558258057,0.5918224453926086,0.3911560773849487,0.6785372136723087,baixa
Etapa 2 - Inicio da fase reprodutiva,18,777342.8640905978,8292853.10184608,6.7,,45.59,0.22,3.28,6.8,6.87,1.15,1.11,31.2,9.76,,1.74,5.8,,7.46,0.13,2.45,2.08,1.61,0.99,1.11,33.2,5.71,,0.64,['Mn'],['Mn'],0.8637354373931885,0.5901139378547668,0.3855060040950775,0.6459261904328573,baixa
Etapa 2 - Inicio da fase reprodutiva,19,777263.8415014314,8292791.820279505,6.6,,45.1,0.12,2.87,4.96,7.34,1.43,1.11,36.61,6.82,,1.11,6.2,,5.71,0.1,1.72,1.77,0.78,1.06,1.11,37.14,5.45,,0.49,['Mn'],['Mn'],0.8505392670631409,0.5817290544509888,0.3795690834522247,0.5703245255842604,baixa
Etapa 2 - Inicio da fase reprodutiva,20,777184.8189122656,8292730.5387129355,6.7,,66.98,0.17,3.06,6.38,7.2,1.3,1.11,32.04,8.46,,1.6,6.1,,11.31,0.2,2.26,3.3,1.86,1.21,1.11,46.63,6.86,,0.97,['Mn'],['Mn'],0.8243411779403687,0.5634171962738037,0.3576741516590118,0.4570071759711156,baixa
Etapa 2 - Inicio da fase reprodutiva,21,777105.7963230995,8292669.257146367,6.6,,46.79,0.13,2.91,5.15,8.21,1.24,1.11,32.57,6.62,,1.18,6.0,,14.72,0.12,2.26,1.63,1.32,1.23,1.11,39.63,5.59,,0.51,['Mn'],['Mn'],0.8021200895309448,0.5522913932800293,0.3352723121643066,0.38654406664848356,baixa
Etapa 2 - Inicio da fase reprodutiva,22,777026.7737339335,8292607.975579796,6.6,,46.91,0.3,3.32,5.31,7.46,1.43,1.11,35.67,9.47,,1.36,5.8,,11.86,0.11,2.42,1.87,1.8,1.2,1.11,46.55,6.61,,0.59,['Mn'],['Mn'],0.8178966045379639,0.5710002779960632,0.3497364223003387,0.4477330987793831,baixa
Etapa 2 - Inicio da fase reprodutiva,23,776947.7511447676,8292546.694013219,6.7,,34.7,0.16,2.72,4.8,5.1,1.17,1.11,33.76,6.49,,1.09,6.2,,5.05,0.1,2.3,2.34,1.25,1.07,1.11,48.82,5.39,,0.76,['Mn'],['Mn'],0.8351585268974304,0.5942507982254028,0.3618095219135284,0.5266468923491822,baixa
Etapa 2 - Inicio da fase reprodutiva,24,776887.5736417036,8292493.957021767,6.6,,19.9,0.33,2.81,4.47,5.1,1.96,1.11,35.15,7.76,,1.09,5.8,,3.58,0.19,2.28,1.47,0.76,2.1,1.11,41.5,6.73,,0.4,['Mn'],['Mn'],0.6278170943260193,0.4545254409313202,0.2383515536785125,0.08096550637147981,media
Etapa 2 - Inicio da fase reprodutiva,25,777360.6051131604,8292993.406001793,6.7,,46.65,0.13,2.83,4.91,6.15,0.85,1.11,32.73,6.62,,1.35,6.3,,33.04,0.12,2.32,3.55,3.89,1.23,1.11,37.21,6.92,,1.15,['Mn'],['Mn'],0.8617603778839111,0.5712234973907471,0.3768395483493805,0.5664172176747672,baixa
Etapa 2 - Inicio da fase reprodutiva,26,777281.5825239943,8292932.124435221,6.6,,37.98,0.22,2.9,4.95,7.07,1.17,1.11,34.52,7.15,,1.22,6.0,,8.97,0.19,2.69,2.19,2.2,1.27,1.11,41.29,6.25,,0.68,['Mn'],['Mn'],0.8556585907936096,0.5767026543617249,0.3734513223171234,0.5583295925883446,baixa
Etapa 2 - Inicio da fase reprodutiva,27,777202.5599348285,8292870.842868648,6.5,,34.57,0.18,2.58,4.47,6.65,0.63,1.11,32.19,7.23,,1.18,6.4,,8.34,0.09,1.94,1.98,1.11,0.76,1.11,42.12,5.7,,0.74,['Mn'],['Mn'],0.870699405670166,0.6049197316169739,0.3908557593822479,0.6735602002481986,baixa
Etapa 2 - Inicio da fase reprodutiva,28,777123.5373456624,8292809.561302076,6.5,,40.59,0.09,2.51,4.38,6.19,0.71,1.11,34.98,6.61,,0.98,6.0,,7.83,0.05,1.91,1.94,1.5,0.8,1.11,40.26,5.46,,0.63,['Mn'],"['K_trocavel', 'Mn']",0.8738306164741516,0.6066521406173706,0.3932378888130188,0.6840977308708917,baixa
Etapa 2 - Inicio da fase reprodutiva,29,777044.5147564965,8292748.2797355065,6.4,,28.34,0.11,2.51,3.98,4.47,0.86,1.11,29.78,6.52,,0.87,6.0,,7.51,0.08,1.91,1.71,1.66,0.8,1.11,32.13,5.91,,0.49,['Mn'],['Mn'],0.8632767796516418,0.5977141857147217,0.379463642835617,0.6093988681612044,baixa
Etapa 2 - Inicio da fase reprodutiva,30,776965.4921673307,8292686.998168936,6.5,,49.98,0.16,2.98,5.06,7.34,0.98,1.11,30.96,7.28,,1.17,5.7,,3.13,0.08,1.91,1.04,0.64,0.85,1.11,39.71,5.58,,0.37,['Mn'],"['pH_H2O', 'Mg', 'Mn', 'Zn']",0.8698933124542236,0.6113722324371338,0.385832816362381,0.6463322578899622,baixa
Etapa 2 - Inicio da fase reprodutiva,31,776886.9527774737,8292625.667984069,6.5,,36.2,0.14,3.17,5.5,7.01,1.1,1.11,29.04,7.06,,1.37,5.9,,4.81,0.12,2.13,1.8,2.17,1.03,1.11,46.55,5.81,,0.53,['Mn'],['Mn'],0.8568155765533447,0.605918288230896,0.3780780136585235,0.5915473099262688,baixa
